SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
ADES,3227,Technical Design Studio,14,14,3,9,2,0,0,0,0,0,0,3.0714285714285716,1.0,0.0,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.0,0.0
ADES,4218W,"Fashion, Dsgn, Global Industry",37,38,18,14,2,1,0,0,0,2,1,3.2162162162162162,0.8947368421052632,0.02631578947368421,0.4864864864864865,0.3783783783783784,0.05405405405405406,0.02702702702702703,0.05405405405405406
ADES,4225,Apparel Studio V,11,12,7,4,0,0,0,0,0,0,1,3.6363636363636362,0.9166666666666666,0.08333333333333333,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0
AEM,2011,Statics,89,96,34,22,25,3,0,0,0,5,7,2.865168539325843,0.84375,0.07291666666666667,0.38202247191011235,0.24719101123595505,0.2808988764044944,0.033707865168539325,0.056179775280898875
AEM,2012,Dynamics,32,34,13,16,3,0,0,0,0,0,2,3.3125,0.9411764705882353,0.058823529411764705,0.40625,0.5,0.09375,0.0,0.0
AEM,2021,Statics & Dynamics,147,149,55,63,26,1,0,0,0,2,2,3.142857142857143,0.9664429530201343,0.013422818791946308,0.3741496598639456,0.42857142857142855,0.17687074829931973,0.006802721088435374,0.013605442176870748
AEM,3031,Deform. Body Mech.,134,144,40,50,39,4,0,0,0,1,10,2.925373134328358,0.8958333333333334,0.06944444444444445,0.29850746268656714,0.373134328358209,0.291044776119403,0.029850746268656716,0.007462686567164179
AEM,3101,Simulation,77,79,59,15,2,0,0,0,0,1,2,3.7012987012987013,0.9620253164556962,0.02531645569620253,0.7662337662337663,0.19480519480519481,0.025974025974025976,0.0,0.012987012987012988
AEM,4201,Fluid Mechanics,75,78,26,41,7,1,0,0,0,0,3,3.2266666666666666,0.9487179487179487,0.038461538461538464,0.3466666666666667,0.5466666666666666,0.09333333333333334,0.013333333333333334,0.0
AEM,4253,Comp Fluids,27,29,11,11,5,0,0,0,0,0,2,3.2222222222222223,0.9310344827586207,0.06896551724137931,0.4074074074074074,0.4074074074074074,0.18518518518518517,0.0,0.0
AEM,4321,Automatic Control Systems,13,17,5,5,3,0,0,0,0,0,4,3.1538461538461537,0.7647058823529411,0.23529411764705882,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.0,0.0
AEM,4331,Aerospace Vehicle Design,166,166,164,2,0,0,0,0,0,0,0,3.9879518072289155,1.0,0.0,0.9879518072289156,0.012048192771084338,0.0,0.0,0.0
AEM,4602W,Aeromechanics Lab,172,172,56,78,32,2,0,0,0,4,0,3.046511627906977,0.9651162790697675,0.0,0.32558139534883723,0.45348837209302323,0.18604651162790697,0.011627906976744186,0.023255813953488372
AEM,5253,Comp Fluids,28,28,15,9,4,0,0,0,0,0,0,3.392857142857143,1.0,0.0,0.5357142857142857,0.32142857142857145,0.14285714285714285,0.0,0.0
AEM,5401,Interm. Dynamics,18,19,8,6,3,1,0,0,0,0,1,3.1666666666666665,0.8947368421052632,0.05263157894736842,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.0
AEM,5501,Continuum Mechanics,28,29,14,14,0,0,0,0,0,0,1,3.5,0.9655172413793104,0.034482758620689655,0.5,0.5,0.0,0.0,0.0
AEM,8201,Fluids I,23,23,17,5,1,0,0,0,0,0,0,3.6956521739130435,1.0,0.0,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.0,0.0
AEM,8251,Volume Methods,10,11,7,2,0,0,1,0,0,0,1,3.7777777777777777,0.9090909090909091,0.09090909090909091,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0
AFEE,1001,"Intro to Ag Ed, Comm, & Mktg",32,32,28,2,2,0,0,0,0,0,0,3.8125,1.0,0.0,0.875,0.0625,0.0625,0.0,0.0
AFEE,2096,"Career Exploration, Experience",18,18,13,4,1,0,0,0,0,0,0,3.6666666666666665,1.0,0.0,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.0,0.0
AFEE,2421,Communication for Ag,92,94,50,31,7,1,0,0,0,3,2,3.347826086956522,0.9361702127659575,0.02127659574468085,0.5434782608695652,0.33695652173913043,0.07608695652173914,0.010869565217391304,0.03260869565217391
